L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
8,0.5,0.0,0.5290900068829293,0.005420873788455466,0.0672808225640637,0.0009908406580109012
8,1.0,0.0,0.4944767259127015,0.005781396305247324,0.10940620235017942,0.00327452341175118
8,1.5,0.0,0.4592307087873251,0.006293155126221161,0.17298394806105027,0.0066641911390575344
8,2.0,0.0,0.43903663965407214,0.006208543088698104,0.24247433437820606,0.010182046616669771
8,2.5,0.0,0.4230249289507576,0.006721079183380926,0.31021609913091336,0.012927125172443085
8,3.0,0.0,0.41935161554043143,0.006450099494913409,0.3669895109985593,0.01484898654036474
8,3.5,0.0,0.4061110331753644,0.006518455652217788,0.41775943074375943,0.015409947874819438
8,4.0,0.0,0.4051684398293966,0.007138248863913887,0.46263521027071597,0.016484611047943628
8,4.5,0.0,0.39086101563706516,0.006071082171247331,0.4989309445381888,0.017035109048919556
8,5.0,0.0,0.38463788479199623,0.0063038224856688165,0.5308490025270661,0.01738080504008259
8,5.5,0.0,0.40417713029320995,0.005614325817912046,0.5615195258205046,0.017814201554726444
8,6.0,0.0,0.40193605404357735,0.0059094710198152696,0.5870004250311225,0.018087742933362152
8,6.5,0.0,0.3903419220749704,0.005520115809467614,0.6110019799028173,0.01818352567028031
8,7.0,0.0,0.38989716018610193,0.006094232471228953,0.6315359408660522,0.018130984908125085
8,7.5,0.0,0.38346479536278755,0.006636816295660331,0.6495262102525488,0.01811780173488074
8,8.0,0.0,0.38839243103879867,0.006702537263887255,0.6658629493129551,0.01818255773239727
