L,W,J2,hilbert_dim,window_size,diag_mode,arpack_tol,arpack_maxiter,arpack_converged_all,mean_nconv,emin_mean,emax_mean,avg_spacing_mean,r_mean,r_sem,ipr_mean,ipr_sem,n_realizations
8,0.5,0.5,70,80,dense,1e-10,5000,True,70.0,-3.1706987478542636,2.6759676274737685,0.08473429529460916,0.5287617006106174,0.0026936848782753995,0.05711056094197092,0.0003047876086033795,200
8,1.0,0.5,70,80,dense,1e-10,5000,True,70.0,-3.5948420289080714,3.086180589378654,0.09682641475777863,0.5172880081799321,0.002650797935753218,0.08365093200930548,0.0011435038695204838,200
8,1.5,0.5,70,80,dense,1e-10,5000,True,70.0,-4.20026627324882,3.6387940085103985,0.11360956930085825,0.4939074664000243,0.002599446824031672,0.12536349596188912,0.0024293600448132315,200
8,2.0,0.5,70,80,dense,1e-10,5000,True,70.0,-4.888797791774913,4.286449108091354,0.13297459275168502,0.47193758862455726,0.002900846718151741,0.17504508644562042,0.0036329238195173825,200
8,2.5,0.5,70,80,dense,1e-10,5000,True,70.0,-5.630012516512124,4.997551874790228,0.15402267233771524,0.4532454201862782,0.0030326521278035293,0.22640131894282597,0.004751559843608167,200
8,3.0,0.5,70,80,dense,1e-10,5000,True,70.0,-6.40518307917167,5.750703653744413,0.1761722714915374,0.4396228751466941,0.0030893435715291856,0.27694319831549596,0.00573686489134494,200
8,3.5,0.5,70,80,dense,1e-10,5000,True,70.0,-7.201392674614892,6.531791793116037,0.1990316589526222,0.4325011246657606,0.003068954940553748,0.3237146361270648,0.006504497499474813,200
8,4.0,0.5,70,80,dense,1e-10,5000,True,70.0,-8.013803559167025,7.3322647232400575,0.22240678670155195,0.42800063279154754,0.003083379419987573,0.3668053677240843,0.007225963482373404,200
8,4.5,0.5,70,80,dense,1e-10,5000,True,70.0,-8.837743833205003,8.146721045499627,0.24615166490876272,0.42240256855033137,0.0030107989481985443,0.4067632986987641,0.007804344575950644,200
8,5.0,0.5,70,80,dense,1e-10,5000,True,70.0,-9.670079449092162,8.97170925707336,0.27017085081399306,0.4163969300903749,0.002737825292663829,0.4419562554464916,0.008215845838640299,200
8,5.5,0.5,70,80,dense,1e-10,5000,True,70.0,-10.508449007731544,9.805123857843853,0.29439960674746957,0.4159178015905388,0.00288293306028044,0.47462078564571286,0.008603183898104806,200
8,6.0,0.5,70,80,dense,1e-10,5000,True,70.0,-11.351405539282348,10.645308125385633,0.3187929516618548,0.41539993471326625,0.0031089537011217087,0.5020730369740753,0.008805410426745392,200
8,6.5,0.5,70,80,dense,1e-10,5000,True,70.0,-12.197826582260998,11.490817020303757,0.34331367539948915,0.40821198750356,0.003086913084994589,0.529164710988107,0.009026457423072516,200
8,7.0,0.5,70,80,dense,1e-10,5000,True,70.0,-13.04786259680198,12.340298947278217,0.3679443702040608,0.40661501442588466,0.003199614889018473,0.551886499536191,0.009122426085062215,200
8,7.5,0.5,70,80,dense,1e-10,5000,True,70.0,-13.90046603102328,13.19317078576316,0.39266140314183245,0.4061483354737206,0.0028817828919354507,0.5735754105442773,0.009252592386483523,200
8,8.0,0.5,70,80,dense,1e-10,5000,True,70.0,-14.755822598271855,14.048870944562095,0.4174593267077384,0.4011136495135744,0.002908320564941241,0.5929552576421874,0.009362990614960242,200
